episode=205, mum of sent packets=4533, num of received packets=3570, num of lost packets=955, PDR=78.76, actual sim duration=0.28
episode=206, mum of sent packets=4586, num of received packets=3524, num of lost packets=1059, PDR=76.84, actual sim duration=0.29
episode=207, mum of sent packets=4612, num of received packets=3684, num of lost packets=924, PDR=79.88, actual sim duration=0.29
episode=208, mum of sent packets=4592, num of received packets=3617, num of lost packets=971, PDR=78.77, actual sim duration=0.29
episode=209, mum of sent packets=4596, num of received packets=3631, num of lost packets=960, PDR=79.00, actual sim duration=0.30
episode=210, mum of sent packets=4566, num of received packets=3591, num of lost packets=968, PDR=78.65, actual sim duration=0.29
episode=211, mum of sent packets=4494, num of received packets=3542, num of lost packets=950, PDR=78.82, actual sim duration=0.30
episode=212, mum of sent packets=4528, num of received packets=3570, num of lost packets=954, PDR=78.84, actual sim duration=0.29
episode=213, mum of sent packets=4581, num of received packets=3569, num of lost packets=1008, PDR=77.91, actual sim duration=0.29
episode=214, mum of sent packets=4648, num of received packets=3614, num of lost packets=1028, PDR=77.75, actual sim duration=0.30
episode=215, mum of sent packets=4568, num of received packets=3553, num of lost packets=1010, PDR=77.78, actual sim duration=0.28
episode=216, mum of sent packets=4515, num of received packets=3554, num of lost packets=960, PDR=78.72, actual sim duration=0.29
episode=217, mum of sent packets=4543, num of received packets=3576, num of lost packets=963, PDR=78.71, actual sim duration=0.28
episode=218, mum of sent packets=4465, num of received packets=3513, num of lost packets=949, PDR=78.68, actual sim duration=0.29
episode=219, mum of sent packets=4570, num of received packets=3565, num of lost packets=1000, PDR=78.01, actual sim duration=0.30
episode=220, mum of sent packets=4593, num of received packets=3593, num of lost packets=998, PDR=78.23, actual sim duration=0.30
episode=221, mum of sent packets=4477, num of received packets=3514, num of lost packets=958, PDR=78.49, actual sim duration=0.28
episode=222, mum of sent packets=4548, num of received packets=3566, num of lost packets=979, PDR=78.41, actual sim duration=0.29
episode=223, mum of sent packets=4611, num of received packets=3552, num of lost packets=1053, PDR=77.03, actual sim duration=0.30
episode=224, mum of sent packets=4596, num of received packets=3583, num of lost packets=1009, PDR=77.96, actual sim duration=0.30
episode=225, mum of sent packets=4486, num of received packets=3554, num of lost packets=929, PDR=79.22, actual sim duration=0.30
episode=226, mum of sent packets=4587, num of received packets=3569, num of lost packets=1012, PDR=77.81, actual sim duration=0.31
episode=227, mum of sent packets=4571, num of received packets=3541, num of lost packets=1021, PDR=77.47, actual sim duration=0.30
episode=228, mum of sent packets=4544, num of received packets=3544, num of lost packets=998, PDR=77.99, actual sim duration=0.31
episode=229, mum of sent packets=4566, num of received packets=3617, num of lost packets=942, PDR=79.22, actual sim duration=0.29
episode=230, mum of sent packets=4595, num of received packets=3623, num of lost packets=967, PDR=78.85, actual sim duration=0.29
episode=231, mum of sent packets=4501, num of received packets=3526, num of lost packets=970, PDR=78.34, actual sim duration=0.30
episode=232, mum of sent packets=4454, num of received packets=3533, num of lost packets=912, PDR=79.32, actual sim duration=0.28
episode=233, mum of sent packets=4532, num of received packets=3593, num of lost packets=931, PDR=79.28, actual sim duration=0.30
episode=234, mum of sent packets=4409, num of received packets=3434, num of lost packets=970, PDR=77.89, actual sim duration=0.28
episode=235, mum of sent packets=4587, num of received packets=3530, num of lost packets=1053, PDR=76.96, actual sim duration=0.29
episode=236, mum of sent packets=4480, num of received packets=3517, num of lost packets=959, PDR=78.50, actual sim duration=0.28
episode=237, mum of sent packets=4479, num of received packets=3495, num of lost packets=977, PDR=78.03, actual sim duration=0.29
episode=238, mum of sent packets=4569, num of received packets=3521, num of lost packets=1038, PDR=77.06, actual sim duration=0.29
episode=239, mum of sent packets=4536, num of received packets=3571, num of lost packets=959, PDR=78.73, actual sim duration=0.30
episode=240, mum of sent packets=4518, num of received packets=3550, num of lost packets=964, PDR=78.57, actual sim duration=0.29
episode=241, mum of sent packets=4505, num of received packets=3545, num of lost packets=955, PDR=78.69, actual sim duration=0.29
episode=242, mum of sent packets=4511, num of received packets=3557, num of lost packets=948, PDR=78.85, actual sim duration=0.29
episode=243, mum of sent packets=4655, num of received packets=3658, num of lost packets=992, PDR=78.58, actual sim duration=0.31
episode=244, mum of sent packets=4526, num of received packets=3585, num of lost packets=939, PDR=79.21, actual sim duration=0.29
episode=245, mum of sent packets=4456, num of received packets=3580, num of lost packets=871, PDR=80.34, actual sim duration=0.30
episode=246, mum of sent packets=4504, num of received packets=3560, num of lost packets=938, PDR=79.04, actual sim duration=0.29
episode=247, mum of sent packets=4526, num of received packets=3580, num of lost packets=946, PDR=79.10, actual sim duration=0.29
episode=248, mum of sent packets=4561, num of received packets=3631, num of lost packets=925, PDR=79.61, actual sim duration=0.29
episode=249, mum of sent packets=4528, num of received packets=3538, num of lost packets=984, PDR=78.14, actual sim duration=0.28
episode=250, mum of sent packets=4574, num of received packets=3625, num of lost packets=942, PDR=79.25, actual sim duration=1.11
episode=251, mum of sent packets=4560, num of received packets=3625, num of lost packets=932, PDR=79.50, actual sim duration=0.30
episode=252, mum of sent packets=4546, num of received packets=3600, num of lost packets=942, PDR=79.19, actual sim duration=0.29
episode=253, mum of sent packets=4579, num of received packets=3582, num of lost packets=994, PDR=78.23, actual sim duration=0.29
episode=254, mum of sent packets=4615, num of received packets=3638, num of lost packets=975, PDR=78.83, actual sim duration=0.29
episode=255, mum of sent packets=4723, num of received packets=3640, num of lost packets=1079, PDR=77.07, actual sim duration=0.30
episode=256, mum of sent packets=4517, num of received packets=3552, num of lost packets=957, PDR=78.64, actual sim duration=0.30
episode=257, mum of sent packets=4577, num of received packets=3576, num of lost packets=997, PDR=78.13, actual sim duration=0.30
episode=258, mum of sent packets=4516, num of received packets=3574, num of lost packets=938, PDR=79.14, actual sim duration=0.29
episode=259, mum of sent packets=4650, num of received packets=3669, num of lost packets=973, PDR=78.90, actual sim duration=0.32
episode=260, mum of sent packets=4616, num of received packets=3622, num of lost packets=986, PDR=78.47, actual sim duration=0.30
episode=261, mum of sent packets=4639, num of received packets=3643, num of lost packets=993, PDR=78.53, actual sim duration=0.30
