episode=217, mum of sent packets=13854, num of received packets=8792, num of lost packets=5058, PDR=63.46, actual sim duration=1.25
episode=218, mum of sent packets=13982, num of received packets=8855, num of lost packets=5124, PDR=63.33, actual sim duration=1.23
episode=219, mum of sent packets=14106, num of received packets=8865, num of lost packets=5237, PDR=62.85, actual sim duration=1.26
episode=220, mum of sent packets=14083, num of received packets=8845, num of lost packets=5234, PDR=62.81, actual sim duration=1.26
episode=221, mum of sent packets=13999, num of received packets=8804, num of lost packets=5192, PDR=62.89, actual sim duration=1.24
episode=222, mum of sent packets=13940, num of received packets=8768, num of lost packets=5170, PDR=62.90, actual sim duration=1.23
episode=223, mum of sent packets=13847, num of received packets=8901, num of lost packets=4944, PDR=64.28, actual sim duration=1.22
episode=224, mum of sent packets=13620, num of received packets=8637, num of lost packets=4980, PDR=63.41, actual sim duration=1.22
episode=225, mum of sent packets=13924, num of received packets=8949, num of lost packets=4971, PDR=64.27, actual sim duration=1.22
episode=226, mum of sent packets=13807, num of received packets=8773, num of lost packets=5030, PDR=63.54, actual sim duration=1.21
episode=227, mum of sent packets=13892, num of received packets=8780, num of lost packets=5107, PDR=63.20, actual sim duration=1.21
episode=228, mum of sent packets=13942, num of received packets=8803, num of lost packets=5136, PDR=63.14, actual sim duration=1.27
episode=229, mum of sent packets=13819, num of received packets=8757, num of lost packets=5060, PDR=63.37, actual sim duration=1.29
episode=230, mum of sent packets=14082, num of received packets=8904, num of lost packets=5173, PDR=63.23, actual sim duration=1.26
episode=231, mum of sent packets=13963, num of received packets=8838, num of lost packets=5121, PDR=63.30, actual sim duration=1.25
episode=232, mum of sent packets=13922, num of received packets=8729, num of lost packets=5190, PDR=62.70, actual sim duration=1.24
episode=233, mum of sent packets=14082, num of received packets=8862, num of lost packets=5217, PDR=62.93, actual sim duration=1.23
episode=234, mum of sent packets=13922, num of received packets=8886, num of lost packets=5033, PDR=63.83, actual sim duration=1.20
episode=235, mum of sent packets=13924, num of received packets=8808, num of lost packets=5111, PDR=63.26, actual sim duration=1.21
episode=236, mum of sent packets=13831, num of received packets=8777, num of lost packets=5047, PDR=63.46, actual sim duration=1.21
episode=237, mum of sent packets=13810, num of received packets=8727, num of lost packets=5077, PDR=63.19, actual sim duration=1.22
episode=238, mum of sent packets=13972, num of received packets=8881, num of lost packets=5087, PDR=63.56, actual sim duration=1.22
episode=239, mum of sent packets=14000, num of received packets=8913, num of lost packets=5087, PDR=63.66, actual sim duration=1.22
episode=240, mum of sent packets=14090, num of received packets=8947, num of lost packets=5139, PDR=63.50, actual sim duration=1.24
episode=241, mum of sent packets=13987, num of received packets=8933, num of lost packets=5050, PDR=63.87, actual sim duration=1.24
episode=242, mum of sent packets=13810, num of received packets=8784, num of lost packets=5023, PDR=63.61, actual sim duration=1.20
episode=243, mum of sent packets=13926, num of received packets=8774, num of lost packets=5148, PDR=63.00, actual sim duration=1.22
episode=244, mum of sent packets=13853, num of received packets=8779, num of lost packets=5071, PDR=63.37, actual sim duration=1.22
episode=245, mum of sent packets=13902, num of received packets=8781, num of lost packets=5116, PDR=63.16, actual sim duration=1.23
